v,a,p,T,Y
304.606,0.056,40.053,833.476,0.492
304.241,0.054,40.043,833.387,0.492
303.876,0.052,40.033,833.299,0.492
303.511,0.049,40.023,833.211,0.492
303.146,0.046,40.012,833.123,0.492
302.781,0.044,40.002,833.035,0.492
302.417,0.041,39.992,832.947,0.492
302.052,0.038,39.982,832.859,0.492
301.688,0.035,39.972,832.772,0.492
301.324,0.032,39.962,832.684,0.492
300.96,0.028,39.952,832.597,0.492
300.597,0.025,39.941,832.51,0.492
300.233,0.022,39.931,832.423,0.492
299.87,0.019,39.921,832.336,0.492
299.507,0.016,39.911,832.249,0.492
299.144,0.013,39.901,832.162,0.492
298.782,0.01,39.891,832.076,0.492
298.419,0.007,39.881,831.989,0.492
298.057,0.004,39.871,831.903,0.492
297.695,7.38E-04,39.861,831.816,0.492
297.333,0.002,39.851,831.73,0.492
296.971,0.005,39.841,831.644,0.492
296.609,0.008,39.831,831.558,0.492
296.248,0.01,39.822,831.472,0.492
295.886,0.013,39.812,831.387,0.492
295.525,0.015,39.802,831.301,0.492
295.164,0.018,39.792,831.216,0.492
294.804,0.02,39.782,831.13,0.492
294.443,0.022,39.772,831.045,0.491
294.083,0.024,39.762,830.96,0.491
293.722,0.025,39.752,830.875,0.491
293.362,0.027,39.743,830.79,0.491
293.003,0.028,39.733,830.705,0.491
292.643,0.03,39.723,830.62,0.491
292.283,0.031,39.713,830.536,0.491
291.924,0.032,39.704,830.451,0.491
291.565,0.032,39.694,830.367,0.491
291.206,0.033,39.684,830.283,0.491
290.847,0.033,39.674,830.199,0.491
290.489,0.034,39.665,830.115,0.491
290.13,0.034,39.655,830.031,0.491
289.772,0.034,39.645,829.947,0.491
289.414,0.033,39.636,829.864,0.491
289.056,0.033,39.626,829.78,0.491
288.699,0.032,39.616,829.697,0.491
288.341,0.032,39.607,829.613,0.491
287.984,0.031,39.597,829.53,0.491
287.627,0.029,39.587,829.447,0.491
287.27,0.028,39.578,829.364,0.491
286.913,0.027,39.568,829.281,0.491
286.556,0.025,39.559,829.199,0.491
286.2,0.024,39.549,829.116,0.491
285.844,0.022,39.54,829.034,0.491
285.488,0.02,39.53,828.951,0.491
285.132,0.018,39.521,828.869,0.491
284.776,0.016,39.511,828.787,0.491
284.421,0.013,39.502,828.705,0.491
284.065,0.011,39.492,828.623,0.491
283.71,0.009,39.483,828.541,0.491
283.355,0.006,39.473,828.46,0.491
283.001,0.004,39.464,828.378,0.491
282.646,8.95E-04,39.454,828.297,0.491
282.292,0.002,39.445,828.215,0.491
281.938,0.005,39.436,828.134,0.491
281.584,0.007,39.426,828.053,0.491
281.23,0.01,39.417,827.972,0.491
280.876,0.013,39.408,827.891,0.491
280.523,0.016,39.398,827.81,0.491
280.169,0.019,39.389,827.73,0.491
279.816,0.022,39.38,827.649,0.491
279.463,0.025,39.37,827.569,0.491
279.111,0.027,39.361,827.488,0.491
278.758,0.03,39.352,827.408,0.49
278.406,0.033,39.342,827.328,0.49
278.054,0.036,39.333,827.248,0.49
277.702,0.038,39.324,827.168,0.49
277.35,0.041,39.315,827.088,0.49
276.998,0.044,39.306,827.009,0.49
276.647,0.046,39.296,826.929,0.49
276.295,0.049,39.287,826.85,0.49
275.944,0.051,39.278,826.771,0.49
275.593,0.053,39.269,826.692,0.49
275.243,0.055,39.26,826.612,0.49
274.892,0.057,39.251,826.533,0.49
274.542,0.059,39.242,826.455,0.49
274.192,0.061,39.232,826.376,0.49
273.842,0.063,39.223,826.297,0.49
273.492,0.064,39.214,826.219,0.49
273.142,0.066,39.205,826.14,0.49
272.793,0.067,39.196,826.062,0.49
272.443,0.068,39.187,825.984,0.49
272.094,0.07,39.178,825.906,0.49
271.745,0.07,39.169,825.828,0.49
271.396,0.071,39.16,825.75,0.49
271.048,0.072,39.151,825.673,0.49
270.699,0.073,39.142,825.595,0.49
270.351,0.073,39.133,825.517,0.49
270.003,0.073,39.124,825.44,0.49
269.655,0.073,39.115,825.363,0.49
269.308,0.073,39.106,825.286,0.49
268.96,0.073,39.097,825.209,0.49
268.613,0.073,39.089,825.132,0.49
268.265,0.073,39.08,825.055,0.49
267.918,0.072,39.071,824.978,0.49
267.572,0.072,39.062,824.902,0.49
267.225,0.071,39.053,824.825,0.49
266.878,0.07,39.044,824.749,0.49
266.532,0.069,39.036,824.673,0.49
266.186,0.068,39.027,824.597,0.49
265.84,0.067,39.018,824.521,0.49
265.494,0.065,39.009,824.445,0.49
265.148,0.064,39,824.369,0.49
264.803,0.062,38.992,824.293,0.49
264.458,0.061,38.983,824.218,0.49
264.112,0.059,38.974,824.142,0.49
263.767,0.057,38.966,824.067,0.49
263.423,0.056,38.957,823.992,0.49
263.078,0.054,38.948,823.916,0.49
262.734,0.052,38.939,823.841,0.49
262.389,0.05,38.931,823.767,0.489
262.045,0.048,38.922,823.692,0.489
261.701,0.046,38.914,823.617,0.489
261.357,0.044,38.905,823.543,0.489
261.014,0.042,38.896,823.468,0.489
260.67,0.039,38.888,823.394,0.489
260.327,0.037,38.879,823.32,0.489
259.984,0.035,38.871,823.245,0.489
259.641,0.033,38.862,823.171,0.489
259.298,0.031,38.853,823.098,0.489
258.956,0.028,38.845,823.024,0.489
258.613,0.026,38.836,822.95,0.489
258.271,0.024,38.828,822.877,0.489
257.929,0.022,38.819,822.803,0.489
257.587,0.02,38.811,822.73,0.489
257.245,0.018,38.802,822.657,0.489
256.904,0.016,38.794,822.583,0.489
256.562,0.014,38.786,822.51,0.489
256.221,0.012,38.777,822.438,0.489
255.88,0.01,38.769,822.365,0.489
255.539,0.009,38.76,822.292,0.489
255.198,0.007,38.752,822.22,0.489
254.858,0.005,38.744,822.147,0.489
254.518,0.004,38.735,822.075,0.489
254.177,0.002,38.727,822.003,0.489
253.837,0.001,38.719,821.93,0.489
253.497,5.66E-04,38.71,821.858,0.489
253.158,0.002,38.702,821.787,0.489
252.818,0.003,38.694,821.715,0.489
252.479,0.004,38.685,821.643,0.489
252.14,0.005,38.677,821.572,0.489
251.801,0.005,38.669,821.5,0.489
251.462,0.006,38.661,821.429,0.489
251.123,0.007,38.652,821.358,0.489
250.785,0.007,38.644,821.287,0.489
250.446,0.008,38.636,821.216,0.489
250.108,0.008,38.628,821.145,0.489
249.77,0.008,38.62,821.074,0.489
249.432,0.008,38.611,821.003,0.489
249.095,0.008,38.603,820.933,0.489
248.757,0.008,38.595,820.862,0.489
248.42,0.008,38.587,820.792,0.489
248.083,0.007,38.579,820.722,0.489
247.746,0.007,38.571,820.652,0.489
247.409,0.006,38.563,820.582,0.489
247.073,0.006,38.555,820.512,0.489
246.736,0.005,38.546,820.442,0.489
246.4,0.004,38.538,820.372,0.489
246.064,0.003,38.53,820.303,0.489
245.728,0.002,38.522,820.233,0.489
245.392,8.15E-04,38.514,820.164,0.489
245.057,4.51E-04,38.506,820.095,0.488
244.721,0.002,38.498,820.026,0.488
244.386,0.003,38.49,819.957,0.488
244.051,0.005,38.482,819.888,0.488
243.716,0.006,38.474,819.819,0.488
243.382,0.008,38.467,819.75,0.488
243.047,0.01,38.459,819.682,0.488
242.713,0.011,38.451,819.613,0.488
242.379,0.013,38.443,819.545,0.488
242.045,0.015,38.435,819.477,0.488
241.711,0.017,38.427,819.408,0.488
241.377,0.019,38.419,819.34,0.488
241.044,0.021,38.411,819.273,0.488
240.711,0.023,38.403,819.205,0.488
240.378,0.025,38.396,819.137,0.488
240.045,0.027,38.388,819.069,0.488
239.712,0.029,38.38,819.002,0.488
239.38,0.032,38.372,818.935,0.488
239.047,0.034,38.364,818.867,0.488
238.715,0.036,38.357,818.8,0.488
238.383,0.038,38.349,818.733,0.488
238.051,0.041,38.341,818.666,0.488
237.72,0.043,38.334,818.599,0.488
237.388,0.045,38.326,818.533,0.488
237.057,0.047,38.318,818.466,0.488
236.726,0.049,38.31,818.4,0.488
236.395,0.052,38.303,818.333,0.488
236.064,0.054,38.295,818.267,0.488
235.733,0.056,38.287,818.201,0.488
235.403,0.058,38.28,818.135,0.488
235.073,0.06,38.272,818.069,0.488
234.743,0.062,38.265,818.003,0.488
234.413,0.064,38.257,817.937,0.488
234.083,0.066,38.249,817.872,0.488
233.754,0.068,38.242,817.806,0.488
233.424,0.07,38.234,817.741,0.488
233.095,0.072,38.227,817.676,0.488
232.766,0.073,38.219,817.61,0.488
232.437,0.075,38.212,817.545,0.488
232.109,0.077,38.204,817.48,0.488
231.78,0.078,38.197,817.416,0.488
231.452,0.08,38.189,817.351,0.488
231.124,0.081,38.182,817.286,0.488
230.796,0.083,38.174,817.222,0.488
230.468,0.084,38.167,817.157,0.488
230.14,0.085,38.159,817.093,0.488
229.813,0.086,38.152,817.029,0.488
229.486,0.087,38.145,816.965,0.488
229.159,0.088,38.137,816.901,0.488
228.832,0.089,38.13,816.837,0.488
228.505,0.09,38.122,816.773,0.488
228.179,0.091,38.115,816.71,0.488
227.852,0.091,38.108,816.646,0.488
227.526,0.092,38.1,816.583,0.488
227.2,0.092,38.093,816.519,0.488
226.874,0.093,38.086,816.456,0.488
226.549,0.093,38.078,816.393,0.488
226.223,0.093,38.071,816.33,0.487
225.898,0.094,38.064,816.267,0.487
225.573,0.094,38.057,816.204,0.487
225.248,0.094,38.049,816.142,0.487
224.923,0.094,38.042,816.079,0.487
224.599,0.094,38.035,816.017,0.487
224.274,0.093,38.028,815.954,0.487
223.95,0.093,38.021,815.892,0.487
223.626,0.093,38.013,815.83,0.487
223.302,0.092,38.006,815.768,0.487
222.979,0.092,37.999,815.706,0.487
222.655,0.091,37.992,815.644,0.487
222.332,0.091,37.985,815.582,0.487
222.009,0.09,37.978,815.521,0.487
221.686,0.089,37.971,815.459,0.487
221.363,0.089,37.963,815.398,0.487
221.04,0.088,37.956,815.337,0.487
220.718,0.087,37.949,815.276,0.487
220.396,0.086,37.942,815.214,0.487
220.074,0.085,37.935,815.154,0.487
219.752,0.084,37.928,815.093,0.487
219.43,0.083,37.921,815.032,0.487
219.108,0.082,37.914,814.971,0.487
218.787,0.081,37.907,814.911,0.487
218.466,0.08,37.9,814.85,0.487
218.145,0.078,37.893,814.79,0.487
217.824,0.077,37.886,814.73,0.487
217.503,0.076,37.879,814.67,0.487
217.183,0.075,37.872,814.61,0.487
216.863,0.074,37.865,814.55,0.487
216.542,0.072,37.859,814.49,0.487
216.223,0.071,37.852,814.431,0.487
215.903,0.07,37.845,814.371,0.487
215.583,0.068,37.838,814.312,0.487
215.264,0.067,37.831,814.252,0.487
214.945,0.066,37.824,814.193,0.487
214.626,0.065,37.817,814.134,0.487
214.307,0.063,37.81,814.075,0.487
213.988,0.062,37.804,814.016,0.487
213.67,0.061,37.797,813.957,0.487
213.351,0.06,37.79,813.899,0.487
213.033,0.059,37.783,813.84,0.487
212.715,0.058,37.777,813.782,0.487
212.397,0.056,37.77,813.723,0.487
212.08,0.055,37.763,813.665,0.487
211.762,0.054,37.756,813.607,0.487
211.445,0.053,37.75,813.549,0.487
211.128,0.052,37.743,813.491,0.487
210.811,0.051,37.736,813.433,0.487
210.495,0.051,37.73,813.375,0.487
210.178,0.05,37.723,813.318,0.487
209.862,0.049,37.716,813.26,0.487
209.546,0.048,37.71,813.203,0.487
209.23,0.047,37.703,813.145,0.487
208.914,0.047,37.696,813.088,0.487
208.599,0.046,37.69,813.031,0.487
208.283,0.046,37.683,812.974,0.487
207.968,0.045,37.677,812.917,0.487
207.653,0.045,37.67,812.861,0.487
207.338,0.044,37.664,812.804,0.487
207.024,0.044,37.657,812.747,0.487
206.709,0.044,37.651,812.691,0.487
206.395,0.044,37.644,812.635,0.487
206.081,0.044,37.637,812.578,0.487
205.767,0.043,37.631,812.522,0.487
205.454,0.043,37.625,812.466,0.486
205.14,0.044,37.618,812.41,0.486
204.827,0.044,37.612,812.355,0.486
204.514,0.044,37.605,812.299,0.486
204.201,0.044,37.599,812.243,0.486
203.888,0.045,37.592,812.188,0.486
203.576,0.045,37.586,812.132,0.486
203.263,0.045,37.58,812.077,0.486
202.951,0.046,37.573,812.022,0.486
202.639,0.047,37.567,811.967,0.486
202.327,0.047,37.56,811.912,0.486
202.016,0.048,37.554,811.857,0.486
201.705,0.049,37.548,811.802,0.486
201.393,0.05,37.541,811.748,0.486
201.082,0.05,37.535,811.693,0.486
200.772,0.051,37.529,811.639,0.486
200.461,0.052,37.523,811.585,0.486
200.151,0.053,37.516,811.53,0.486
199.84,0.055,37.51,811.476,0.486
199.53,0.056,37.504,811.422,0.486
199.221,0.057,37.498,811.368,0.486
198.911,0.058,37.491,811.315,0.486
198.602,0.06,37.485,811.261,0.486
198.292,0.061,37.479,811.207,0.486
197.983,0.063,37.473,811.154,0.486
197.675,0.064,37.467,811.101,0.486
197.366,0.066,37.461,811.047,0.486
197.058,0.067,37.454,810.994,0.486
196.749,0.069,37.448,810.941,0.486
196.441,0.07,37.442,810.888,0.486
196.134,0.072,37.436,810.835,0.486
195.826,0.074,37.43,810.783,0.486
195.519,0.076,37.424,810.73,0.486
195.211,0.077,37.418,810.678,0.486
194.904,0.079,37.412,810.625,0.486
194.598,0.081,37.406,810.573,0.486
194.291,0.083,37.4,810.521,0.486
193.985,0.085,37.394,810.469,0.486
193.679,0.087,37.388,810.417,0.486
193.373,0.089,37.382,810.365,0.486
193.067,0.091,37.376,810.313,0.486
192.761,0.093,37.37,810.261,0.486
192.456,0.094,37.364,810.21,0.486
192.151,0.096,37.358,810.158,0.486
191.846,0.098,37.352,810.107,0.486
191.541,0.1,37.346,810.056,0.486
191.237,0.102,37.34,810.005,0.486
190.932,0.104,37.334,809.954,0.486
190.628,0.106,37.328,809.903,0.486
190.324,0.108,37.322,809.852,0.486
190.02,0.11,37.316,809.801,0.486
189.717,0.112,37.311,809.751,0.486
189.414,0.114,37.305,809.7,0.486
189.111,0.116,37.299,809.65,0.486
188.808,0.118,37.293,809.599,0.486
188.505,0.12,37.287,809.549,0.486
188.203,0.122,37.282,809.499,0.486
187.9,0.124,37.276,809.449,0.486
187.598,0.126,37.27,809.399,0.486
187.297,0.128,37.264,809.35,0.486
186.995,0.13,37.259,809.3,0.486
186.694,0.132,37.253,809.25,0.486
186.392,0.133,37.247,809.201,0.486
186.092,0.135,37.241,809.152,0.486
185.791,0.137,37.236,809.102,0.486
185.49,0.139,37.23,809.053,0.486
185.19,0.14,37.224,809.004,0.486
184.89,0.142,37.219,808.955,0.486
184.59,0.144,37.213,808.906,0.486
184.29,0.145,37.207,808.858,0.486
183.991,0.147,37.202,808.809,0.486
183.692,0.148,37.196,808.761,0.486
183.393,0.15,37.191,808.712,0.486
183.094,0.151,37.185,808.664,0.486
182.795,0.153,37.179,808.616,0.485
182.497,0.154,37.174,808.568,0.485
182.199,0.156,37.168,808.52,0.485
181.901,0.157,37.163,808.472,0.485
181.603,0.158,37.157,808.424,0.485
181.306,0.159,37.152,808.376,0.485
181.009,0.161,37.146,808.329,0.485
180.712,0.162,37.141,808.281,0.485
180.415,0.163,37.135,808.234,0.485
180.118,0.164,37.13,808.187,0.485
179.822,0.165,37.124,808.14,0.485
179.526,0.166,37.119,808.093,0.485
179.23,0.167,37.114,808.046,0.485
178.934,0.168,37.108,807.999,0.485
178.639,0.169,37.103,807.952,0.485
178.343,0.169,37.097,807.906,0.485
178.048,0.17,37.092,807.859,0.485
177.754,0.171,37.087,807.813,0.485
177.459,0.172,37.081,807.766,0.485
177.165,0.172,37.076,807.72,0.485
176.871,0.173,37.071,807.674,0.485
176.577,0.174,37.065,807.628,0.485
176.283,0.174,37.06,807.582,0.485
175.99,0.175,37.055,807.536,0.485
175.697,0.175,37.049,807.491,0.485
175.404,0.176,37.044,807.445,0.485
175.111,0.176,37.039,807.4,0.485
174.819,0.177,37.034,807.354,0.485
174.526,0.177,37.028,807.309,0.485
174.234,0.177,37.023,807.264,0.485
173.943,0.178,37.018,807.219,0.485
173.651,0.178,37.013,807.174,0.485
173.36,0.178,37.008,807.129,0.485
173.069,0.178,37.002,807.084,0.485
172.778,0.179,36.997,807.04,0.485
172.487,0.179,36.992,806.995,0.485
172.197,0.179,36.987,806.951,0.485
171.907,0.179,36.982,806.906,0.485
171.617,0.179,36.977,806.862,0.485
171.327,0.179,36.972,806.818,0.485
171.038,0.179,36.967,806.774,0.485
170.749,0.179,36.961,806.73,0.485
170.46,0.179,36.956,806.686,0.485
170.171,0.18,36.951,806.643,0.485
169.883,0.18,36.946,806.599,0.485
169.595,0.18,36.941,806.556,0.485
169.307,0.18,36.936,806.512,0.485
169.019,0.18,36.931,806.469,0.485
168.732,0.18,36.926,806.426,0.485
168.444,0.18,36.921,806.383,0.485
168.157,0.18,36.916,806.34,0.485
167.871,0.18,36.911,806.297,0.485
167.584,0.179,36.906,806.254,0.485
167.298,0.179,36.902,806.211,0.485
167.012,0.179,36.897,806.169,0.485
166.727,0.179,36.892,806.126,0.485
166.441,0.179,36.887,806.084,0.485
166.156,0.179,36.882,806.042,0.485
165.871,0.179,36.877,806,0.485
165.586,0.179,36.872,805.958,0.485
165.302,0.179,36.867,805.916,0.485
165.018,0.179,36.862,805.874,0.485
164.734,0.179,36.858,805.832,0.485
164.45,0.179,36.853,805.79,0.485
164.167,0.18,36.848,805.749,0.485
163.884,0.18,36.843,805.707,0.485
163.601,0.18,36.838,805.666,0.485
163.318,0.18,36.834,805.625,0.485
163.036,0.18,36.829,805.584,0.485
162.754,0.18,36.824,805.543,0.485
162.472,0.18,36.82,805.502,0.485
162.191,0.18,36.815,805.461,0.485
161.909,0.181,36.81,805.42,0.485
161.628,0.181,36.805,805.38,0.485
161.348,0.181,36.801,805.339,0.485
161.067,0.182,36.796,805.299,0.485
160.787,0.182,36.791,805.259,0.485
160.507,0.182,36.787,805.219,0.485
160.228,0.183,36.782,805.178,0.485
159.948,0.183,36.777,805.138,0.485
159.669,0.183,36.773,805.099,0.485
159.39,0.184,36.768,805.059,0.485
159.112,0.184,36.764,805.019,0.485
158.833,0.185,36.759,804.98,0.485
158.555,0.185,36.755,804.94,0.485
158.278,0.186,36.75,804.901,0.485
158,0.187,36.745,804.862,0.485
157.723,0.187,36.741,804.822,0.485
157.446,0.188,36.736,804.783,0.485
157.17,0.189,36.732,804.744,0.485
156.893,0.19,36.727,804.706,0.484
156.617,0.19,36.723,804.667,0.484
156.342,0.191,36.719,804.628,0.484
156.066,0.192,36.714,804.59,0.484
155.791,0.193,36.71,804.551,0.484
155.516,0.194,36.705,804.513,0.484
155.242,0.195,36.701,804.475,0.484
154.967,0.196,36.696,804.437,0.484
154.693,0.197,36.692,804.399,0.484
154.42,0.198,36.688,804.361,0.484
154.146,0.2,36.683,804.323,0.484
153.873,0.201,36.679,804.285,0.484
153.6,0.202,36.675,804.248,0.484
153.328,0.203,36.67,804.21,0.484
153.056,0.205,36.666,804.173,0.484
152.784,0.206,36.662,804.135,0.484
152.512,0.207,36.657,804.098,0.484
152.241,0.209,36.653,804.061,0.484
151.97,0.21,36.649,804.024,0.484
151.699,0.212,36.644,803.987,0.484
151.429,0.213,36.64,803.95,0.484
151.159,0.215,36.636,803.914,0.484
150.889,0.217,36.632,803.877,0.484
150.62,0.218,36.627,803.841,0.484
150.35,0.22,36.623,803.804,0.484
150.082,0.222,36.619,803.768,0.484
149.813,0.223,36.615,803.732,0.484
149.545,0.225,36.611,803.696,0.484
149.277,0.227,36.607,803.66,0.484
149.009,0.229,36.602,803.624,0.484
148.742,0.231,36.598,803.588,0.484
148.475,0.233,36.594,803.553,0.484
148.209,0.235,36.59,803.517,0.484
147.942,0.237,36.586,803.482,0.484
147.676,0.239,36.582,803.446,0.484
147.411,0.241,36.578,803.411,0.484
147.145,0.243,36.574,803.376,0.484
146.88,0.245,36.57,803.341,0.484
146.616,0.247,36.566,803.306,0.484
146.351,0.25,36.562,803.271,0.484
146.087,0.252,36.558,803.236,0.484
145.824,0.254,36.554,803.202,0.484
145.56,0.256,36.55,803.167,0.484
145.297,0.259,36.546,803.133,0.484
145.035,0.261,36.542,803.099,0.484
144.772,0.263,36.538,803.064,0.484
144.51,0.266,36.534,803.03,0.484
144.249,0.268,36.53,802.996,0.484
143.987,0.271,36.526,802.962,0.484
143.726,0.273,36.522,802.928,0.484
143.466,0.276,36.518,802.895,0.484
143.205,0.278,36.514,802.861,0.484
142.945,0.281,36.51,802.828,0.484
142.686,0.283,36.507,802.794,0.484
142.427,0.286,36.503,802.761,0.484
142.168,0.288,36.499,802.728,0.484
141.909,0.291,36.495,802.695,0.484
141.651,0.293,36.491,802.662,0.484
141.393,0.296,36.487,802.629,0.484
141.136,0.299,36.484,802.596,0.484
140.879,0.301,36.48,802.563,0.484
140.622,0.304,36.476,802.531,0.484
140.365,0.307,36.472,802.498,0.484
140.109,0.309,36.469,802.466,0.484
139.854,0.312,36.465,802.434,0.484
139.598,0.315,36.461,802.401,0.484
139.344,0.318,36.457,802.369,0.484
139.089,0.32,36.454,802.337,0.484
138.835,0.323,36.45,802.305,0.484
138.581,0.326,36.446,802.274,0.484
138.328,0.328,36.443,802.242,0.484
138.074,0.331,36.439,802.21,0.484
137.822,0.334,36.435,802.179,0.484
137.569,0.337,36.432,802.148,0.484
137.318,0.339,36.428,802.116,0.484
137.066,0.342,36.425,802.085,0.484
136.815,0.345,36.421,802.054,0.484
136.564,0.348,36.417,802.023,0.484
136.314,0.35,36.414,801.992,0.484
136.064,0.353,36.41,801.962,0.484
135.814,0.356,36.407,801.931,0.484
135.565,0.359,36.403,801.9,0.484
135.316,0.361,36.4,801.87,0.484
135.068,0.364,36.396,801.84,0.484
134.82,0.367,36.393,801.809,0.484
134.572,0.37,36.389,801.779,0.484
134.325,0.372,36.386,801.749,0.484
134.078,0.375,36.382,801.719,0.484
133.831,0.378,36.379,801.689,0.484
133.585,0.381,36.375,801.66,0.484
133.34,0.383,36.372,801.63,0.484
133.094,0.386,36.369,801.601,0.484
132.85,0.389,36.365,801.571,0.484
132.605,0.391,36.362,801.542,0.484
132.361,0.394,36.358,801.513,0.484
132.118,0.397,36.355,801.483,0.484
131.875,0.399,36.352,801.454,0.484
131.632,0.402,36.348,801.425,0.484
131.39,0.405,36.345,801.397,0.484
131.148,0.407,36.342,801.368,0.484
130.906,0.41,36.338,801.339,0.484
130.665,0.413,36.335,801.311,0.484
130.425,0.415,36.332,801.282,0.484
130.184,0.418,36.328,801.254,0.484
129.945,0.42,36.325,801.226,0.484
129.705,0.423,36.322,801.198,0.484
129.466,0.426,36.319,801.17,0.484
129.228,0.428,36.315,801.142,0.484
128.99,0.431,36.312,801.114,0.484
128.752,0.433,36.309,801.086,0.484
128.515,0.436,36.306,801.059,0.484
128.279,0.438,36.303,801.031,0.484
128.043,0.441,36.3,801.004,0.484
127.807,0.443,36.296,800.976,0.484
127.571,0.446,36.293,800.949,0.484
127.337,0.448,36.29,800.922,0.484
127.102,0.45,36.287,800.895,0.484
126.868,0.453,36.284,800.868,0.484
126.635,0.455,36.281,800.841,0.484
126.402,0.458,36.278,800.815,0.484
126.169,0.46,36.275,800.788,0.484
125.937,0.462,36.272,800.762,0.484
125.706,0.465,36.268,800.735,0.483
